No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
297,Detroit Venture Partners,VC,$70.0M,$55.3M,6/17/2014,Detroit,Detroit,MI,USA,0,0,detroitventurepartners.com,0
298,Sherpa Innoventures,VC,$70.0M,$350.0K,1/8/2015,,Tel Aviv-Yafo,,IL,0,0,sherpa-innoventures.com,0
299,Lewis & Clark Ventures,VC,$70.0M,$116.4M,9/7/2016,,St. Louis,MO,USA,0,0,lewisandclarkventures.com,0
300,CrunchFund,VC,$70.0M,$0.00,4/19/2016,Bay Area,San Francisco,CA,USA,149,173,crunchfund.com,274
301,Serra Ventures,VC,$67.3M,$30.3M,4/15/2016,Champaign,Champaign,IL,USA,0,0,serraventures.com,0
302,Vast Ventures,VC,$66.0M,$1.0M,11/15/2016,New York,New York,NY,USA,0,0,vastvc.com,0
303,SocialStarts,VC,$65.0M,$0.00,10/19/2015,New York,New York,NY,USA,94,140,socialstarts.net,43
304,Scout Ventures,VC,$65.0M,$0.00,1/27/2015,New York,New York,NY,USA,0,0,scoutventures.com,0
305,Reach Capital,VC,$61.6M,$11.6M,10/30/2015,Bay Area,Palo Alto,CA,USA,0,0,reachcap.com,0
306,G20 Ventures,VC,$61.6M,$61.6M,3/4/2015,Boston,Boston,MA,USA,0,0,G20vc.com,0
307,Bioventures Investors,VC,$60.2M,$60.2M,9/21/2016,,Wellesley,MA,USA,0,0,bioventuresinvestors.com,0
308,Emergent Medical Partners,VC,$60.2M,$60.2M,9/9/2014,,Mountain View,CA,USA,0,0,emvllp.com,0
309,Spring Partners,VC,$60.1M,$751.7K,12/11/2015,London,London,,GRB,0,0,,0
310,Commerce Ventures,VC,$60.0M,$38.9M,6/9/2016,Bay Area,San Francisco,CA,USA,0,0,commercevc.com,0
311,Access Venture Partners,VC,$60.0M,$0.00,11/30/2016,Westminster,Westminster,CO,USA,0,0,accessventurepartners.com,0
312,Okapi Venture Capital,VC,$60.0M,$0.00,10/7/2016,Los Angeles,Laguna Beach,CA,USA,0,0,okapivc.com,0
313,Freestyle Capital,VC,$60.0M,$60.0M,4/17/2015,Bay Area,San Francisco,CA,USA,0,0,freestyle.vc,0
314,Camp One Ventures,VC,$60.0M,$12.4M,9/15/2016,Bay Area,Palo Alto,CA,USA,0,0,camponeventures.com,0
315,GrayGhost Ventures,VC,$60.0M,$10.0M,5/16/2016,,Atlanta,GA,USA,0,0,grayghostventures.com,0
316,Hyde Park Venture Partners,VC,$60.0M,$45.0M,6/6/2016,Chicago,Chicago,IL,USA,0,0,hydeparkvp.com,0
317,North Base Media,VC,$57.8M,$19.3M,7/13/2015,,Central Region,,SGP,0,0,northbasemedia.net,0
318,Peak Ventures,VC,$57.5M,$16.3M,6/13/2014,Salt Lake City,Provo,UT,USA,0,0,peakventurecapital.com,0
319,Navitas Capital,VC,$56.0M,$0.00,3/10/2016,Alphen Aan Den Rijn,Alphen Aan Den Rijn,,NLD,0,0,navitascapital.nl,0
320,True North Venture Partners,VC,$55.7M,$55.7M,10/9/2014,Chicago,Chicago,IL,USA,0,0,truenorthvp.com,0
321,Crystal Towers,VC,$55.4M,$35.0M,10/29/2015,New York,New York,NY,USA,0,0,crystaltowersapartments.com,0
322,Eniac Ventures,VC,$55.0M,$55.0M,3/19/2015,New York,New York,NY,USA,85,115,eniac.vc,196
323,Cowboy Ventures,VC,$55.0M,$0.00,9/26/2014,Bay Area,Palo Alto,CA,USA,0,0,cowboy.vc,0
324,Boulder Food Group,VC,$55.0M,$35.3M,5/28/2015,,Boulder,CO,USA,0,0,bfgpartners.com,0
325,Velos Partners,VC,$54.8M,$44.3M,1/6/2015,Los Angeles,Los Angeles,CA,USA,0,0,velospartners.com,0
326,Illuminate Financial Management,VC,$53.2M,$0.00,12/28/2015,London,London,,GRB,0,0,illuminatefinancial.com,0
327,Whitehart Ventures,VC,$52.0M,$0.00,9/10/2015,,Venice,CA,USA,0,0,whitehartventures.com,0
328,Fresh VC,VC,$51.0M,$0.00,3/15/2016,New York,New York,NY,USA,0,0,freshvc.com,0
329,Susa Ventures,VC,$51.0M,$0.00,1/28/2016,Bay Area,San Francisco,CA,USA,0,0,susaventures.com,0
330,Mindfull Investors,VC,$50.7M,$1.6M,11/23/2015,Madera,Madera,CA,USA,0,0,mindfullinvestors.com,0
331,Fairhaven Capital Partners,VC,$50.1M,$50.1M,6/10/2016,Boston,Cambridge,MA,USA,0,0,fairhavencapital.com,0
332,Targeted Technology Fund,VC,$50.0M,$37.2M,10/15/2014,San Antonio,San Antonio,TX,USA,0,0,targetedtech.com,0
333,Valor Capital Group,VC,$50.0M,$0.00,2/27/2014,New York,New York,NY,USA,0,0,valorcapitalgroup.com,0
334,Cloud Apps Capital Partners,VC,$50.0M,$43.7M,5/11/2015,Bay Area,San Francisco,CA,USA,0,0,cloudappscapital.com,0
335,Mucker Capital,VC,$50.0M,$0.00,5/13/2015,Los Angeles,Santa Monica,CA,USA,0,0,muckercapital.com,0
336,Crosscut Ventures,VC,$50.0M,$0.00,7/30/2014,Los Angeles,Venice,CA,USA,0,0,crosscutventures.com,0
337,Startup Capital Ventures,VC,$50.0M,$0.00,5/2/2014,Bay Area,Menlo Park,CA,USA,0,0,startupcv.com,0
338,Future Perfect Ventures,VC,$50.0M,$0.00,3/18/2014,New York,New York,.,USA,0,0,futureperfectventures.com,0
339,Acorn Campus Ventures,VC,$50.0M,$50.0M,5/7/2015,,Cupertino,CA,USA,0,0,acorncampus.com,0
340,University Venture Fund,VC,$50.0M,$3.5M,1/14/2015,,Salt Lake City,UT,USA,0,0,uventurefund.com,0
341,Saama Capital,VC,$50.0M,$30.3M,4/27/2016,Bengaluru,Bengaluru,,IND,0,0,saamacapital.vc,0
342,Operative Capital,VC,$50.0M,$0.00,8/11/2014,Bay Area,Sausalito,CA,USA,0,0,operativecapital.com,0
343,Structure Capital,VC,$50.0M,$0.00,3/30/2015,Bay Area,San Francisco,CA,USA,0,0,structure.vc,0
344,North Atlantic Capital,VC,$50.0M,$0.00,10/2/2014,Portland,Portland,OR,USA,0,0,northatlanticcapital.com,0
345,Aligned Partners,VC,$50.0M,$50.0M,2/4/2015,Bay Area,Menlo Park,CA,USA,0,0,alignedvc.com,0
346,Deep Fork Capital,VC,$50.0M,$0.00,2/21/2014,Bay Area,Menlo Park,CA,USA,0,0,deepforkcapital.com,0
347,Crystal Tech Fund,VC,$50.0M,$0.00,2/20/2014,Washington D.C.,Arlington,VA,USA,0,0,disruption.vc,0
348,Lowercase Capital,VC,$46.1M,$46.1M,9/24/2015,Sacramento,Truckee,CA,USA,105,125,lowercasecapital.com,"1,030"
349,Quest Venture Partners,VC,$45.0M,$0.00,1/23/2014,Bay Area,Menlo Park,CA,USA,0,0,questvp.com,0
350,FreshTracks Capital,VC,$45.0M,$11.4M,3/2/2016,Shelburne,Shelburne,VT,USA,0,0,freshtrackscap.com,0
351,FundersClub,VC,$44.2M,$44.2M,12/29/2016,Bay Area,San Francisco,CA,USA,194,242,fundersclub.com,292
352,Cherubic Ventures,VC,$42.0M,$3.0M,8/6/2015,Bay Area,San Francisco,CA,USA,0,0,cherubicvc.com,0
353,Bee Partners,VC,$40.9M,$28.9M,6/30/2016,Bay Area,San Francisco,CA,USA,0,0,beepartners.vc,0
354,Powerplant Ventures,VC,$40.2M,$40.2M,9/22/2016,Los Angeles,Los Angeles,CA,USA,0,0,powerplantvc.com,0
355,Rocketship.vc,VC,$40.1M,$40.1M,1/13/2016,Bay Area,Palo Alto,CA,USA,0,0,rocketship.vc,0
356,Michigan eLab,VC,$40.0M,$20.0M,9/5/2014,,Ann Arbor,MI,USA,0,0,michiganelab.com,0
357,Zero2IPO Ventures,VC,$40.0M,$0.00,3/21/2014,Beijing,Beijing,,CHN,0,0,zero2ipovc.com,0
358,SV Tech Ventures,VC,$40.0M,$11.5M,4/20/2015,Bay Area,Palo Alto,CA,USA,0,0,vtechventures.com,0
359,Advancit Capital,VC,$40.0M,$0.00,2/29/2016,Boston,Norwood,MA,USA,0,0,advancitcapital.com,0
360,Rincon Venture Partners,VC,$40.0M,$0.00,12/19/2014,Santa Barbara,Santa Barbara,CA,USA,0,0,rinconvp.com,0
361,Liquid 2 Ventures,VC,$40.0M,$0.00,7/5/2016,Bay Area,San Francisco,CA,USA,0,0,liquid2.vc,0
362,Cultivation Capital,VC,$40.0M,$2.3M,11/1/2016,St Louis,St Louis,MO,USA,0,0,cultivationcapital.com,0
363,Scrum Ventures,VC,$40.0M,$13.2M,6/10/2015,Bay Area,San Francisco,CA,USA,0,0,scrumventures.co,0
364,Venture51,VC,$37.6M,$9.7M,10/28/2015,Scottsdale,Scottsdale,AZ,USA,0,0,venture51.com,0
365,Asymmetria Investors,VC,$36.5M,$7.8M,12/8/2015,,,,,0,0,asymmetriagroup.com,0
366,Riverwood Capital,VC,$35.0M,$0.00,2/18/2014,Bay Area,Menlo Park,CA,USA,0,0,riverwoodcapital.com,0
367,Lucas Venture Group,VC,$35.0M,$6.6M,2/24/2016,Bay Area,Menlo Park,CA,USA,0,0,lucasvg.com,0
368,Inimiti,VC,$35.0M,$30.1M,2/14/2014,Israel,Israel,,ISR,0,0,inimiti.net,0
369,BAM Ventures,VC,$34.0M,$4.0M,12/1/2016,Los Angeles,Los Angeles,CA,USA,0,0,bam.vc,0
370,Dundee Venture Capital,VC,$33.5M,$20.1M,4/28/2016,Omaha,Omaha,NE,USA,0,0,dundeeventurecapital.com,0
371,Green Bay Advisors,VC,$32.8M,$32.8M,9/1/2016,Bay Area,San Francisco,CA,USA,0,0,greenbayadvisors.com,0
372,Maven Ventures,VC,$32.0M,$7.2M,11/10/2015,Bay Area,Palo Alto,CA,USA,0,0,mavenventures.com,0
373,Lion Wells Capital,VC,$31.4M,$31.4M,6/11/2015,Los Angeles,Los Angeles,CA,USA,0,0,lionwells.com,0
374,Engineering Capital,VC,$31.4M,$31.4M,2/24/2015,Bay Area,Palo Alto,CA,USA,0,0,engineeringcapital.com,0
375,Crestlight Ventures,VC,$31.0M,$0.00,10/10/2014,Bay Area,Palo Alto,CA,USA,0,0,crestlight.com,0
376,Project 11 Ventures,VC,$30.0M,$0.00,5/20/2014,Boston,Boston,MA,USA,0,0,project11.com,0
377,Illuminate Ventures,VC,$30.0M,$0.00,4/8/2015,Bay Area,Oakland,CA,USA,0,0,illuminate.com,0
378,Divergent Ventures,VC,$30.0M,$9.7M,8/11/2016,Seattle,Seattle,WA,USA,0,0,divergentvc.com,0
379,Lifeforce Ventures,VC,$30.0M,$0.00,12/16/2015,Santa Barbara,Santa Barbara,CA,USA,0,0,,0
380,O'Reilly AlphaTech Ventures,VC,$30.0M,$0.00,11/3/2015,Bay Area,San Francisco,CA,USA,0,0,oatv.com,0
381,4490 Ventures,VC,$30.0M,$30.0M,5/6/2014,Cleveland,Madison,WI,USA,0,0,4490.ventures,0
382,HealthX Ventures,VC,$30.0M,$0.00,9/30/2015,Cleveland,Madison,WI,USA,0,0,healthxventures.com,0
383,Inspiration Ventures,VC,$30.0M,$10.0M,7/7/2014,Burlingame,Burlingame,CA,CA,0,0,inspirationventures.com,0
384,Social Leverage,VC,$30.0M,$0.00,2/17/2015,Coronado,Coronado,CA,USA,87,0,socialleveragellc.com,142
385,BDS Venture Fund,VC,$28.3M,$21.5M,12/6/2016,Jericho,Jericho,NY,USA,0,0,bdscapital.net,0
386,Math Venture Partners,VC,$27.8M,$27.8M,4/1/2015,Chicago,Chicago,IL,USA,0,0,mathventurepartners.com,0
387,Carmenta Capital,VC,$27.0M,$4.6M,11/30/2015,Bay Area,San Francisco,CA,USA,0,0,,0
388,Acequia Capital,VC,$26.6M,$26.6M,8/19/2016,Seattle,Seattle,WA,USA,0,0,acecap.com,0
389,Converge Venture Partners,VC,$26.5M,$26.5M,10/10/2014,Boston,Cambridge,MA,USA,0,107,convergevp.com,0
390,Indicator Ventures,VC,$26.3M,$14.4M,6/17/2016,Boston,Boston,MA,USA,0,0,indicatorventures.com,0
391,Bull City Venture Partners,VC,$25.4M,$25.4M,6/16/2014,Raleigh,Raleigh,NC,USA,0,0,bcvp.com,0
392,GRA Venture Fund,VC,$25.1M,$25.1M,8/3/2015,Atlanta,Atlanta,GA,USA,0,0,graventurefund.org,0
393,Spider Capital Partners,VC,$25.0M,$0.00,4/23/2015,Bay Area,San Francisco,CA,USA,0,0,spidercp.com,0
394,DOT Capital,VC,$25.0M,$1.1M,4/1/2016,New York,New York,NY,USA,0,0,dotcapital.com,0
395,Casa Verde Capital,VC,$25.0M,$0.00,6/12/2015,Los Angeles,Los Angeles,CA,USA,0,0,casaverdecapital.com,0
396,Capital A Partners,VC,$25.0M,$0.00,4/20/2015,Charleston,Charleston,SC,USA,0,0,capitalapartners.com,0
397,Mission Bay Capital,VC,$25.0M,$25.0M,5/2/2015,Bay Area,San Francisco,CA,USA,0,0,missionbaycapital.com,0
398,z9 Capital,VC,$25.0M,$0.00,8/6/2015,Boca Raton,Boca Raton,FL,USA,0,0,z9capital.com,0
399,Core Ventures Group,VC,$25.0M,$7.8M,9/3/2015,Cornwall,England,,UK,0,0,coreventuresgroup.com,0
400,Blue Chip Venture Company,VC,$25.0M,$16.4M,11/4/2014,Cincinnati,Cincinnati,OH,USA,0,0,bcvc.com,0
401,Maiden Lane Ventures,VC,$25.0M,$0.00,7/25/2016,Bay Area,San Francisco,CA,USA,0,0,maidenlane.com,0
402,Connectivity Capital Partners,VC,$25.0M,$0.00,11/25/2015,New York,New York,NY,USA,0,0,connectivitycapitalpartners.com,0
403,Bulldog Innovation Group,VC,$25.0M,$0.00,8/24/2015,New Haven,New Haven,CT,USA,0,0,bulldoginnovationgroup.com,0
404,Militello Capital,VC,$25.0M,$9.1M,5/15/2015,Leesburg,Leesburg,VA,USA,0,0,militellocapital.com,0
405,Canyon Creek Capital,VC,$25.0M,$3.6M,8/14/2014,Los Angeles,Santa Monica,CA,USA,0,0,canyoncreekcapital.com,0
406,1776 Investments,VC,$25.0M,$0.00,5/1/2014,Washington D.C.,Washington D.C.,DC,USA,0,0,1776.vc,0
407,Cendana Capital,VC,$25.0M,$19.0M,2/6/2015,Bay Area,San Francisco,CA,USA,0,0,cendanacapital.com,0
408,Avenue A Ventures,VC,$25.0M,$0.00,8/6/2014,New York,New York,NY,USA,0,0,,0
409,Allegro Venture Partners,VC,$25.0M,$0.00,5/28/2015,Bay Area,San Francisco,CA,USA,0,0,allegrovc.com,0
410,Precursor Ventures,VC,$25.0M,$15.2M,11/2/2016,San Francisco,San Francisco,CA,USA,0,0,,0
411,Next Frontier Capital,VC,$25.0M,$12.4M,5/31/2016,Bozeman,Bozeman,MT,USA,0,0,nextfrontiercapital.com,0
412,Novus Ventures,VC,$25.0M,$14.7M,4/23/2015,Cupertino,Cupertino,CA,USA,0,0,novusventures.com,0
413,Founders' Coop,VC,$25.0M,$10.0M,4/10/2014,Seattle,Seattle,WA,USA,0,0,founderscoop.com,0
414,Roth Capital,VC,$24.7M,$16.6M,8/17/2015,Los Angeles,Newport Beach,CA,USA,0,0,roth.com,0
415,West Capital Advisors,VC,$23.7M,$12.2M,11/19/2015,Cincinnati,Cincinnati,OH,USA,0,0,westcapadv.com,0
416,Innovate Partners,VC,$23.5M,$23.5M,7/1/2014,Bay Area,Irvine,CA,USA,0,0,innovatepartnersllc.com,0
417,yet2Ventures,VC,$21.4M,$32.8M,12/9/2016,Wilmington,Wilmington,DE,USA,0,0,yet2ventures.com,0
418,Waterline Ventures,VC,$20.5M,$500.0K,9/21/2016,Cambridge,Cambridge,MA,USA,0,0,waterlineventures.com,0
419,Alpine Meridian Ventures,VC,$20.0M,$4.0M,2/11/2014,New York,New York,NY,USA,0,0,alpinemeridian.com,0
420,TenOneTen Ventures,VC,$20.0M,$13.2M,9/29/2015,Los Angeles,Los Angeles,CA,USA,0,0,tenoneten.net,0
421,Signet Healthcare Partners,VC,$20.0M,$11.3M,11/9/2014,New York,New York,NY,USA,0,0,signethealthcarepartners.com,0
422,Summation Health Ventures,VC,$20.0M,$20.0M,7/28/2014,Long Beach,Long Beach,CA,USA,0,0,shv.io,0
423,Colle Capital,VC,$20.0M,$9.5M,12/21/2015,New York,New York,NY,USA,0,0,collecapital.com,0
424,PV Ventures,VC,$20.0M,$4.9M,12/10/2014,Colorado Springs,Colorado Springs,CO,USA,0,0,pvventuresllc.com,0
425,Augment Ventures,VC,$20.0M,$0.00,10/18/2016,Detroit,Ann Arbor,MI,USA,0,0,augmentventures.com,0
426,Boston Seed Capital,VC,$20.0M,$0.00,3/19/2014,Boston,Westwood,MA,USA,0,0,bostonseed.com,0
427,Hoxton Ventures,VC,$20.0M,$4.6M,4/30/2014,London,London,,GBR,0,0,hoxtonventures.com,0
428,Blockchain Capital,VC,$20.0M,$5.1M,12/16/2014,Bay Area,San Francisco,CA,USA,0,0,blockchain.capital,0
429,Unitus Seed Fund,VC,$18.0M,$38.9M,8/13/2015,Seattle,Seattle,WA,USA,0,0,usf.vc,0
430,Montage Ventures,VC,$17.5M,$46.8M,1/21/2016,Bay Area,Menlo Park,CA,USA,0,0,montageventures.com,0
431,Switch VC,VC,$17.0M,$1.0M,11/5/2015,Bay Area,San Francisco,CA,USA,0,0,switch.vc,0
432,Strong Ventures,VC,$16.5M,$1.5M,7/29/2015,Los Angeles,Los Angeles,CA,USA,0,0,strongvc.com,0
433,Flare Capital,VC,$16.1M,$148.8M,5/1/2015,Norwalk,Norwalk,CT,USA,0,0,foundmed.com,0
434,Life Ventures,VC,$15.5M,$50.0K,12/11/2015,San Diego,San Diego,CA,USA,0,0,lifeventures.net,0
435,Union Grove Venture Partners,VC,$15.0M,$15.0M,4/8/2014,Chapel Hill,Chapel Hill,NC,USA,0,0,uniongrovevp.com,0
436,Vodia Ventures,VC,$15.0M,$2.6M,3/3/2014,Boston,Boston,MA,USA,0,0,vodiaventures.com,0
437,Clayton Associates,VC,$15.0M,$6.8M,3/20/2014,Nashville,Nashville,TN,USA,0,0,claytonassociates.com,0
438,Elefund,VC,$15.0M,$0.00,7/13/2015,Palo Alto,Palo Alto,CA,USA,0,0,elefund.com,0
439,Blue Seed Capital,VC,$15.0M,$0.00,6/4/2015,Brooklyn,Brooklyn,NY,USA,0,0,bluecap.vc,0
440,Pathbreaker Ventures,VC,$12.9M,$25.8M,8/30/2016,San Francisco,San Francisco,CA,USA,0,0,pathbreakervc.com,0
441,Alliance Venture,VC,$12.7M,$12.7M,7/17/2014,Oslo,Oslo,,NOR,0,0,allianceventure.com,0
442,Monitor Ventures,VC,$12.2M,$2.2M,7/1/2015,Los Angeles,Los Angeles,CA,USA,0,0,monitorventures.com,0
443,Mesa Verde Venture Partners,VC,$12.0M,$5.4M,7/31/2015,San Diego,San Diego,CA,USA,0,0,mesaverdevp.com,0
444,Vine Street Ventures,VC,$12.0M,$3.5M,8/26/2015,Cincinnati,Cincinnati,OH,USA,0,0,vinestventures.com,0
445,Tank Hill Venture Partners,VC,$12.0M,$12.0M,12/15/2015,,,,,0,0,,0
446,Matter.VC,VC,$12.0M,$7.0M,5/31/2016,Bay Area,San Francisco,CA,USA,0,0,matter.vc,0
447,Excelerate Health Ventures,VC,$11.2M,$18.1M,7/14/2016,,,,,0,0,exceleratehealth.com,0
448,Wefunder,VC,$10.8M,$10.8M,7/14/2016,,,,,0,0,wefunder.com,0
449,Healthy Ventures,VC,$10.7M,$10.7M,3/26/2015,,,,,0,0,healthy.vc,0
450,Valence Life Sciences,VC,$10.5M,$10.5M,3/17/2014,New York,New York,NY,USA,0,0,valencefund.com,0
451,Fresco Capital,VC,$10.1M,$1.6M,6/6/2016,,,,,0,0,frescocapital.com,0
452,Sanderling Ventures,VC,$10.0M,$0.00,7/5/2016,USA,San Mateo,CA,USA,0,0,sanderling.com,0
453,Conversion Capital,VC,$10.0M,$8.4M,6/3/2015,New York,New York,NY,USA,0,0,conversioncapital.com,0
454,Double M Partners,VC,$10.0M,$8.1M,5/19/2014,Los Angeles,Los Angeles,CA,USA,0,0,doublempartners.com,0
455,Energy Venture Partners,VC,$10.0M,$0.00,10/19/2015,,,,,0,0,,0
456,Arif Advisors,VC,$10.0M,$10.0M,7/2/2015,,,,,0,0,,0
457,Previz Ventures,VC,$10.0M,$1.5M,7/10/2014,,,,,0,0,previzv.com,0
458,Neoteny Labs,VC,$10.0M,$5.1M,4/9/2015,,,,,0,0,neotenylabs.com,0
459,Spiegel Capital Management,VC,$10.0M,$1.0M,6/24/2014,,,,,0,0,,0
460,Beta Bridge Capital,VC,$10.0M,$0.00,9/18/2015,,,,,0,0,b2cap.com,0
461,Presence Capital,VC,$10.0M,$0.00,1/4/2016,,,,,0,0,presencecap.com,0
462,Galvanize Ventures,VC,$10.0M,$9.7M,7/1/2014,Milwaukee,Denver,CO,USA,0,0,galvanize.com,0
463,SK Ventures,VC,$10.0M,$0.00,9/1/2015,San Diego,La Jolla,CA,USA,0,0,skvcap.com,0
464,LaunchTime,VC,$10.0M,$10.0M,8/8/2014,,,,,0,0,launchtime.com,0
465,Brightpath Capital Partners,VC,$9.5M,$9.5M,7/30/2015,,,,,0,0,brightpathcapitalpartners.com,0
466,Capital Factory,VC,$9.0M,$2.7M,12/19/2014,Austin,Austin,TX,USA,0,0,capitalfactory.com,0
467,Monogram Capital Partners,VC,$8.4M,$8.0M,10/31/2016,,,,,0,0,monogramcapital.com,0
468,Raptor Ventures,VC,$8.4M,$4.5M,10/6/2016,,,,,0,0,raptorventures.com,0
469,Europlay Capital Advisors,VC,$8.3M,$39.0K,3/9/2016,,,,,0,0,europlaycapital.com,0
470,Stage One Capital,VC,$8.1M,$8.1M,8/5/2015,Austin,Austin,TX,USA,0,0,stage1capital.com,0
471,DFJ Athena,VC,$8.0M,$2.4M,10/14/2014,,,,,0,0,dfjathena.com,0
472,Service Provider Capital,VC,$8.0M,$0.00,4/18/2016,,,,,0,0,serviceprovidercapital.com,0
473,Lumia Capital,VC,$7.5M,$60.1M,11/17/2015,Bay Area,San Francisco,CA,USA,0,0,lumiacapital.com,0
474,Verge Fund,VC,$7.3M,$13.7M,9/19/2016,Albuquerque,Albuquerque,NM,USA,0,0,vergefund.com,0
475,Beanstalk Ventures,VC,$7.1M,$7.1M,8/22/2016,,,,,0,0,beanstalk.vc,0
476,Laconia Capital Group,VC,$7.0M,$0.00,4/9/2015,,,,,0,0,laconiacapitalgroup.com,0
477,Accelerant Capital Partners,VC,$7.0M,$1.1M,8/26/2014,,,,,0,0,,0
478,Mediphase Venture Partners,VC,$6.5M,$6.5M,5/22/2015,,,,,0,0,mediphaseventure.com,0
479,Notation Capital,VC,$6.0M,$0.00,11/21/2014,New York,Brooklyn,NY,USA,0,0,notationcapital.com,0
480,Hazel Equity Advisors,VC,$6.0M,$4.9M,10/20/2015,,,,,0,0,,0
481,Fledge,VC,$6.0M,$2.0M,8/12/2016,,,,,0,0,fledge.co,0
482,IA Ventures,VC,$5.6M,$5.6M,12/31/2015,New York,New York,NY,USA,0,0,iaventures.com,0
483,Catalyst Health Ventures,VC,$5.0M,$1.2M,7/18/2016,,,,,0,0,catalysthealthventures.com,0
484,Sequel Venture Partners,VC,$5.0M,$500.0K,3/19/2014,,,,,0,0,sequelvc.com,0
485,Great Oaks Venture Capital,VC,$5.0M,$0.00,10/28/2014,New York,New York,NY,USA,211,268,greatoaksvc.com,179
486,Female Founders Fund,VC,$5.0M,$3.7M,10/15/2014,New York,New York,NY,USA,0,0,femalefoundersfund.com,0
487,Stadia Ventures,VC,$5.0M,$1.1M,9/18/2015,,,,,0,0,stadiaventures.com,0
488,The House Fund,VC,$5.0M,$0.00,10/22/2015,,,,,0,0,,0
489,Startup Studio Ventures (SSV),VC,$5.0M,$0.00,6/4/2015,,,,,0,0,,0
490,Huron River Ventures,VC,$5.0M,$268.6K,3/31/2015,Detroit,Ann Arbor,MI,USA,0,0,huronrivervc.com,0
491,Allos Ventures,VC,$4.7M,$4.6M,6/2/2015,Carmel,Carmel,IN,USA,0,0,Allosventures.com,0
492,Boulevard Capital Partners,VC,$4.7M,$4.7M,11/24/2015,,,,,0,0,,0
493,Generation Partners,VC,$4.0M,$4.0M,1/15/2015,,,,,0,0,generation.com,0
494,Rising Tide Fund,VC,$4.0M,$3.0M,12/22/2015,,,,,0,0,risingtidefund.com,0
495,TechColumbus,VC,$4.0M,$3.5M,2/28/2014,Columbus,Columbus,OH,USA,0,0,techcolumbus.org,0
496,Ohio TechAngels Funds,VC,$4.0M,$3.7M,3/10/2014,Columbus,Columbus,OH,USA,0,0,ohiotechangels.com,0
497,EDF Ventures,VC,$3.5M,$2.5M,5/8/2014,,,,,0,0,edfvc.com,0
498,Victory Park Capital,VC,$3.5M,$1.8M,7/9/2015,Chicago,Chicago,IL,USA,0,0,victoryparkcapital.com,0
499,Heron Capital,VC,$3.0M,$2.0M,5/8/2015,,,,,0,0,heroncap.com,0
500,Router Ventures,VC,$3.0M,$1.0M,10/6/2015,,,,,0,0,routerventures.com,0
501,Concept2Company Ventures,VC,$3.0M,$0.00,2/27/2015,,,,,0,0,,0
502,Marshall Ventures,VC,$3.0M,$1.9M,7/6/2015,,,,,0,0,marshallventures.com,0
503,Select Venture Partners,VC,$3.0M,$800.0K,7/30/2014,,,,,0,0,selectventurepartners.com,0
504,Herlitz Capital,VC,$3.0M,$0.00,8/12/2015,,,,,0,0,,0
505,Yaletown Venture Partners,VC,$2.6M,$2.6M,1/5/2015,Vancouver,Vancouver,CAN-BC,CAN,0,0,yaletown.com,0
506,Fireweed Fund,VC,$2.5M,$2.5M,4/17/2015,,,,,0,0,,0
507,StartCaps Ventures,VC,$2.5M,$350.0K,6/11/2015,,,,,0,0,startcaps.com,0
508,Hudson Valley Startup Fund,VC,$2.5M,$150.0K,10/20/2015,,,,,0,0,hvstartupfund.com,0
509,Raisol Capital,VC,$2.5M,$1.5M,8/7/2015,,,,,0,0,,0
510,Seattle Angel,VC,$2.5M,$1.2M,10/13/2015,,,,,0,0,seattleangel.com,0
511,InstantScale,VC,$2.4M,$2.3M,5/31/2016,,,,,0,0,instantscale.com,0
512,EFW Partners,VC,$2.3M,$2.3M,6/12/2015,,,,,0,0,efwpartners.com,0
513,The Mendota Group,VC,$2.1M,$1.7M,6/10/2016,,,,,0,0,themendotagroup.com,0
514,Drake Partners,VC,$2.0M,$1.1M,10/21/2015,,,,,0,0,drakepartnersllc.com,0
515,CincyTech,VC,$2.0M,$2.0M,2/12/2014,Cincinnati,Cincinnati,OH,USA,0,0,cincytechusa.com,0
516,LATAM Venture Capital,VC,$2.0M,$1.1M,12/28/2015,,,,,0,0,,0
517,Rodaro Group,VC,$2.0M,$0.00,12/18/2015,,,,,0,0,,0
518,TYLT Lab,VC,$2.0M,$2.0M,2/28/2014,,,,,0,0,builtinla.com,0
519,Growth Technology Partners,VC,$1.9M,$1.9M,6/16/2015,,,,,0,0,growthtechnologypartners.com,0
520,EDGE Edtech,VC,$1.7M,$1.2M,11/18/2015,,,,,0,0,edgeedtech.com,0
521,Skyland Ventures,VC,$1.6M,$1.6M,10/16/2014,JPN,,,JPN,0,0,skyland.vc,0
522,Bainco International Investors,VC,$1.6M,$1.0M,1/6/2015,,,,,0,0,bainco.com,0
523,Earlybird Venture Capital,VC,$1.5M,$1.1M,1/30/2015,Berlin,Berlin,,DEU,83,115,earlybird.com,184
524,Microventures,VC,$1.4M,$1.2M,3/19/2014,Austin,Austin,TX,USA,0,0,microventures.com,0
525,Golden Venture Partners,VC,$1.4M,$1.4M,6/26/2015,Toronto,Toronto,CAN-ON,CAN,0,0,goldenvp.com,0
526,AP Capital Investments,VC,$1.1M,$1.1M,6/29/2015,,,,,0,0,apcinvest.com,0
