No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
142,WuXi Healthcare Ventures,VC,$250.0M,$0.00,7/10/2015,Shanghai,Shanghai,,CHN,0,0,wuxiventures.com,0
143,QuestMark Partners,VC,$250.0M,$151.8M,12/19/2014,Washington D.C.,Baltimore,MD,USA,0,0,questm.com,0
144,Decheng Capital,VC,$250.0M,$0.00,8/14/2015,Shanghai,Shanghai,,CHN,0,0,decheng.com,0
145,ZhenFund,VC,$250.0M,$100.0M,12/29/2015,Beijing,Beijing,,CHN,0,0,zhenfund.com,0
146,Marker LLC,VC,$249.4M,$15.6M,2/24/2016,New York,New York,NY,USA,0,0,marker-llc.com,0
147,Rise Capital,VC,$248.9M,$59.6M,7/18/2016,Bay Area,San Francisco,CA,USA,0,0,risecapital.com,0
148,RSTP,VC,$248.1M,$75.6M,12/12/2014,Bay Area,San Francisco,CA,USA,0,0,rstp.com,0
149,H. Barton Asset Management,VC,$246.4M,$46.4M,6/29/2016,Bay Area,San Francisco,CA,USA,0,0,bartonam.com,0
150,Forerunner Ventures,VC,$231.9M,$200.4M,1/5/2017,Bay Area,San Francisco,CA,USA,0,0,forerunnerventures.com,0
151,1315 Capital,VC,$225.0M,$179.5M,3/23/2016,Philadelphia,Philadelphia,PA,USA,0,0,1315capital.com,0
152,XPV Capital,VC,$225.0M,$215.3M,1/17/2014,Toronto,Toronto,CAN-ON,CAN,0,0,xpvcapital.com,0
153,Sierra Ventures,VC,$222.2M,$222.2M,8/2/2016,Bay Area,San Mateo,CA,USA,98,155,sierraventures.com,127
154,SV Angel,VC,$220.6M,$131.2M,4/14/2015,Bay Area,San Francisco,CA,USA,610,695,svangel.com,272
155,Finistere Ventures,VC,$220.0M,$80.7M,7/26/2016,San Diego,San Diego,CA,USA,0,0,finisterefund2.com,0
156,Altos Ventures,VC,$220.0M,$60.0M,10/28/2015,Bay Area,Menlo Park,CA,USA,0,0,altosventures.com,0
157,Rothenberg Ventures,VC,$216.5M,$52.0M,4/29/2016,Bay Area,San Francisco,CA,USA,82,0,rothenbergventures.com,348
158,Blumberg Capital,VC,$215.2M,$192.3M,2/4/2016,Bay Area,San Francisco,CA,USA,81,132,blumbergcapital.com,133
159,Arboretum Ventures,VC,$215.0M,$0.00,6/18/2015,Detroit,Ann Arbor,MI,USA,0,0,arboretumvc.com,0
160,Activant Capital,VC,$212.2M,$142.5M,4/19/2016,Greenwich,Greenwich,CT,USA,0,0,activantcapital.com,0
161,Slow Ventures,VC,$210.0M,$210.0M,11/21/2016,Bay Area,San Francisco,CA,USA,203,240,slowfund.com,437
162,Trident Capital,VC,$207.8M,$7.8M,9/17/2015,Bay Area,Palo Alto,CA,USA,94,147,tridentcap.com,213
